Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,VRATE,LCSC Part #,Sim.Pins,Sim.Device,Sim.Type,MF,MAXIMUM_PACKAGE_HEIGHT,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Description_1,Availability,MANUFACTURER
J10,1,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",terminal_block/Phoenix,,,,,,,,,,,,,,,,
J11,1,Conn_01x05,"TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal",,,,tht,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",terminal_block/Phoenix,,,,,,,,,,,,,,,,
J12,1,Conn_01x11,"TerminalBlock_Phoenix_MPT-0,5-11-2.54_1x11_P2.54mm_Horizontal",,,,tht,"Generic connector, single row, 01x11, script generated (kicad-library-utils/schlib/autogen/connector/)",terminal_block/Phoenix,,,,,,,,,,,,,,,,
"J13, J5, J6",3,Conn_01x03,"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",,,,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",terminal_block/Phoenix,,,,,,,,,,,,,,,,
"J2, J8",2,Conn_01x06,"TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal",,,,tht,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",terminal_block/Phoenix,,,,,,,,,,,,,,,,
J3,1,Conn_01x08,"TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",,,,tht,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",terminal_block/Phoenix,,,,,,,,,,,,,,,,
J4,1,Conn_01x04,PinSocket_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/pin_header_socket,,,,,,,,,,,,,,,,
J9,1,Conn_01x02,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",terminal_block/Phoenix,,,,,,,,,,,,,,,,
L1,1,47u,IND-SMD_L13.5-W12.6_125CDMCC-DS,,,,tht,Inductor,,,,,,,,,,,,,,,,,
"L2, L3, L4",3,22uH,IND-SMD_L17.0-W17.0_YSPIA1770-100M,,,,tht,SRYH.1770.YF220MT00,,,C5122901,,,,,,,,,,,,,,
Q1,1,NMOS,PG-TDSON-8_L5.0-W6.0-P1.27-BL-EP,,,,tht,"N-MOSFET transistor, drain/source/gate",,,,1=D 2=G 3=S,NMOS,VDMOS,,,,,,,,,,,
Q2,1,PMOS,DFN-8_L5.7-W4.9-P1.27-LS6.1-BL,,,,tht,"P-MOSFET transistor, drain/source/gate",,,,1=D 2=G 3=S,PMOS,VDMOS,,,,,,,,,,,
Q3,1,NMOS,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,,,tht,"N-MOSFET transistor, drain/source/gate",,,,1=D 2=G 3=S,NMOS,VDMOS,,,,,,,,,,,
R1,1,249k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
"R10, R11, R12, R13, R14, R15, R19, R24, R26, R27, R31, R9",12,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
"R16, R17, R18",3,390,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,C4491,,,,,,,,,,,,,,
R2,1,499k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,,,,,
